name,year,certifi,time,Genre,Vote,Metascore,Rating
Zack Snyder's Justice League,(2021),R,242 min,"Action, Adventure, Fantasy","306,262",54        ,8.1
Aspirants,(2021– ),No data,45 min,Drama,"271,862",No data,9.2
WandaVision,(2021),TV-PG,350 min,"Action, Comedy, Drama","185,608",No data,8.1
Radhe,(2021),TV-MA,135 min,"Action, Crime, Thriller","163,435",No data,1.8
Godzilla vs. Kong,(2021),PG-13,113 min,"Action, Sci-Fi, Thriller","145,661",59        ,6.4
Army of the Dead,(2021),R,148 min,"Action, Crime, Horror","121,519",57        ,5.8
The Falcon and the Winter Soldier,(2021),TV-14,50 min,"Action, Adventure, Drama","118,041",No data,7.4
Mortal Kombat,(2021),R,110 min,"Action, Adventure, Fantasy","117,170",44        ,6.2
Nobody,(I) (2021),R,92 min,"Action, Crime, Drama","109,596",64        ,7.4
Raya and the Last Dragon,(2021),PG,107 min,"Animation, Action, Adventure","85,536",75        ,7.4
Cruella,(2021),PG-13,134 min,"Comedy, Crime","76,922",59        ,7.4
Lupin,(2021– ),TV-MA,45 min,"Action, Crime, Drama","74,592",No data,7.5
Invincible,(2021– ),TV-MA,364 min,"Animation, Action, Adventure","68,909",No data,8.8
Wrath of Man,(2021),R,119 min,"Action, Crime, Thriller","64,474",57        ,7.2
The Little Things,(2021),R,128 min,"Crime, Drama, Thriller","63,763",54        ,6.3
Mare of Easttown,(2021),TV-MA,410 min,"Crime, Drama, Mystery","62,182",No data,8.5
The Mitchells vs the Machines,(2021),PG,113 min,"Animation, Adventure, Comedy","61,981",80        ,7.7
Master,(2021),Not Rated,179 min,"Action, Thriller","60,153",No data,7.9
Coming 2 America,(2021),PG-13,110 min,Comedy,"58,393",52        ,5.3
The Dig,(2021),PG-13,112 min,"Biography, Drama, History","57,986",73        ,7.1
Tandav,(2021– ),TV-14,30 min,"Drama, Thriller","55,375",No data,3.7
Shadow and Bone,(2021– ),TV-14,No data,"Action, Adventure, Drama","55,301",No data,7.8
The Conjuring: The Devil Made Me Do It,(2021),R,112 min,"Horror, Mystery, Thriller","54,324",53        ,6.4
 Attack on Titan,(2013–2021),TV-MA,24 min,"Animation, Action, Adventure","54,311",No data,9.9
Judas and the Black Messiah,(2021),R,126 min,"Biography, Drama, History","51,705",85        ,7.5
The Woman in the Window,(2021),R,100 min,"Crime, Drama, Mystery","51,691",41        ,5.7
The White Tiger,(2021),R,125 min,"Crime, Drama","50,421",76        ,7.1
Loki,(2021– ),TV-14,No data,"Action, Adventure, Fantasy","47,847",No data,8.9
The One Where They Get Back Together,(2021 TV Special),TV-14,104 min,"Comedy, Romance","45,643",No data,8.1
Behind Her Eyes,(2021),TV-MA,298 min,"Drama, Mystery, Thriller","45,319",No data,7.2
Tom Clancy's Without Remorse,(2021),R,109 min,"Action, Thriller, War","42,237",41        ,5.8
 Attack on Titan,(2013–2021),TV-MA,24 min,"Animation, Action, Adventure","39,835",No data,9.9
 Attack on Titan,(2013–2021),TV-MA,24 min,"Animation, Action, Adventure","38,148",No data,9.9
Outside the Wire,(2021),R,114 min,"Action, Adventure, Fantasy","36,355",45        ,5.4
Luca,(2021),PG,95 min,"Animation, Adventure, Comedy","35,721",71        ,7.6
Stowaway,(2021),TV-MA,116 min,"Drama, Sci-Fi, Thriller","34,877",63        ,5.6
Thunder Force,(2021),PG-13,106 min,"Action, Adventure, Comedy","34,305",34        ,4.4
Those Who Wish Me Dead,(2021),R,100 min,"Action, Drama, Thriller","33,892",59        ,6.0
Ginny & Georgia,(2021– ),TV-14,No data,"Comedy, Drama","33,570",No data,7.5
Boss Level,(2021),TV-MA,94 min,"Action, Mystery, Sci-Fi","32,388",56        ,6.9
The Serpent,(2021),TV-MA,458 min,"Crime, Drama, Thriller","31,231",No data,7.7
Jupiter's Legacy,(2021),TV-MA,56 min,"Action, Adventure, Drama","29,713",No data,6.8
Fate: The Winx Saga,(2021– ),TV-MA,No data,"Action, Adventure, Drama","29,594",No data,6.9
Malcolm & Marie,(2021),R,106 min,"Drama, Romance","29,234",53        ,6.7
The Mauritanian,(2021),R,129 min,"Drama, Thriller","28,525",53        ,7.4
Drishyam 2,(2021),No data,152 min,"Crime, Drama, Thriller","27,544",No data,8.7
Palmer,(2021),R,110 min,Drama,"25,783",53        ,7.3
Sweet Tooth,(2021– ),TV-14,No data,"Action, Adventure, Drama","25,251",No data,8.0
Tom and Jerry,(2021),PG,101 min,"Animation, Comedy, Family","24,899",32        ,5.3
Oxygen,(2021),TV-14,100 min,"Drama, Fantasy, Sci-Fi","24,814",67        ,6.5
Spiral,(2021),R,93 min,"Crime, Horror, Mystery","24,091",40        ,5.3
Seaspiracy,(2021),TV-MA,89 min,"Documentary, Adventure","23,936",No data,8.2
 Attack on Titan,(2013–2021),TV-MA,24 min,"Animation, Action, Adventure","23,731",No data,9.6
Racket Boys,(2021– ),No data,80 min,"Comedy, Drama, Sport","23,442",No data,1.0
Cherry,(2021),R,142 min,"Crime, Drama","23,015",44        ,6.6
Inside,(2021 TV Special),TV-MA,87 min,"Comedy, Drama, Music","22,468",No data,8.8
Things Heard & Seen,(2021),TV-MA,121 min,"Drama, Horror, Mystery","22,239",49        ,5.3
Resident Alien,(2021– ),TV-14,44 min,"Comedy, Drama, Mystery","21,661",No data,8.2
It's a Sin,(2021),TV-MA,239 min,"Comedy, Drama, History","21,654",No data,8.7
 WandaVision,(2021),TV-PG,30 min,"Action, Comedy, Drama","21,400",No data,7.5
Redemption Day,(2021),R,99 min,"Action, Drama, Thriller","21,400",22        ,6.5
Anne Boleyn,(2021– ),No data,60 min,"Drama, History","21,276",No data,3.9
 WandaVision,(2021),TV-PG,35 min,"Action, Comedy, Drama","20,339",No data,8.9
In the Heights,(2021),PG-13,143 min,"Drama, Music, Musical","20,300",84        ,7.6
 WandaVision,(2021),TV-PG,37 min,"Action, Comedy, Drama","20,247",No data,7.8
 WandaVision,(2021),TV-14,42 min,"Action, Comedy, Drama","19,982",No data,9.1
Space Sweepers,(2021),TV-MA,136 min,"Action, Adventure, Drama","19,712",64        ,6.6
Moxie,(2021),PG-13,111 min,"Comedy, Drama, Music","19,561",54        ,6.7
Night Stalker: The Hunt for a Serial Killer,(2021),TV-MA,189 min,"Documentary, Crime, Mystery","19,340",No data,7.5
Bad Trip,(2021),R,86 min,Comedy,"19,018",61        ,6.6
 WandaVision,(2021),TV-PG,33 min,"Action, Comedy, Drama","18,663",No data,8.2
To All the Boys: Always and Forever,(2021),TV-14,109 min,"Comedy, Drama, Romance","18,068",65        ,6.3
Yes Day,(2021),PG,86 min,"Comedy, Family","18,064",46        ,5.7
F9: The Fast Saga,(2021),PG-13,145 min,"Action, Adventure, Crime","18,003",59        ,5.5
 Loki,(2021– ),TV-14,51 min,"Action, Adventure, Fantasy","17,909",No data,8.8
 WandaVision,(2021),TV-PG,47 min,"Action, Comedy, Drama","17,885",No data,9.0
 WandaVision,(2021),TV-PG,50 min,"Action, Comedy, Drama","17,770",No data,8.4
The Innocent,(2021),TV-MA,467 min,"Crime, Drama, Mystery","17,535",No data,7.9
Wrong Turn,(2021),R,109 min,"Horror, Thriller","17,402",46        ,5.5
